Date,Close,High,Low,Open,Volume,SMA_10,SMA_20,EMA_10,EMA_20,RSI_14,MACD,MACD_signal,MACD_hist,ATR_14,BB_upper,BB_middle,BB_lower,OBV,news_avg_polarity,news_avg_subjectivity,news_avg_compound,news_avg_positive,news_avg_negative,news_news_count
2023-11-07,0.0735180005431175,0.0763889998197555,0.0718979984521865,0.0763889998197555,789220960.0,0.0702406994998454,0.0677394993603228,0.070663149603031,0.0682817186181728,65.5904227116372,0.0028046902311519,0.0022547452567078,0.0005499449744441,0.0028305883368967,0.076346323424705,0.0677394993603228,0.0591326752959407,234400671841.0,0,0,0,0,0,0
2023-11-08,0.0754809975624084,0.0766810029745101,0.0730269998311996,0.0735170021653175,531673694.0,0.0708528995513915,0.0685693992301821,0.0715391219592815,0.0689673642319095,68.61521151424071,0.0030256355105036,0.0024089233074669,0.0006167122030366,0.0028894036802119,0.0767926059394458,0.0685693992301821,0.0603461925209183,234932345535.0,0,0,0,0,0,0
2023-11-09,0.073461003601551,0.077735997736454,0.0705569982528686,0.0754740014672279,964429145.0,0.0712339997291564,0.0692441994324326,0.0718885549851486,0.0693953298861611,62.52433346603569,0.0030031214902065,0.0025277629440148,0.0004753585461916,0.0031958033804529,0.0767126749962877,0.0692441994324326,0.0617757238685775,233967916390.0,0,0,0,0,0,0
2023-11-10,0.0754439979791641,0.0754539966583252,0.0731550008058548,0.073464997112751,649733691.0,0.0719506993889808,0.069956999272108,0.0725349991658787,0.0699713935140661,65.73953936955515,0.0031094462794676,0.0026440996111054,0.0004653466683621,0.0031317456998827,0.0769178057747966,0.069956999272108,0.0629961927694194,234617650081.0,0,0,0,0,0,0
2023-11-11,0.0784059986472129,0.0816980004310607,0.074922002851963,0.0754449963569641,1345253621.0,0.0729071989655494,0.070797499269247,0.0736024536170304,0.0707746892410325,69.89438826384006,0.0033935988453772,0.0027939994579598,0.0005995993874174,0.0033920494055409,0.0775741443224192,0.070797499269247,0.0640208542160747,235962903702.0,0,0,0,0,0,0
2023-11-12,0.0779810026288032,0.0799809992313385,0.0761440023779869,0.0784199982881546,727221576.0,0.0739118993282317,0.0713422995060681,0.0743985534373527,0.0714610048017725,68.60872923513526,0.0035436491921811,0.002943929404804,0.0005997197873771,0.0034238313660988,0.078574152642936,0.0713422995060681,0.0641104463692003,235235682126.0,0,0,0,0,0,0
2023-11-13,0.0747819989919662,0.0793979987502098,0.0741759985685348,0.0779799968004226,829471613.0,0.0745756991207599,0.0717535994946956,0.0744682708109188,0.0717772899627433,59.70612731355468,0.0033656353653177,0.0030282705969068,0.0003373647684109,0.0035522719957828,0.0787826535914076,0.0717535994946956,0.0647245453979835,234406210513.0,0,0,0,0,0,0
2023-11-14,0.0724570006132125,0.0754270032048225,0.0702809989452362,0.0747779980301857,708265059.0,0.0749134995043277,0.0719583995640277,0.0741025853204267,0.0718420243104071,54.20134388318136,0.0030023410677284,0.0030230846910711,-2.074362334269445e-05,0.0036661100146259,0.0788167402184251,0.0719583995640277,0.0651000589096303,233697945454.0,0,0,0,0,0,0
2023-11-15,0.0763560011982917,0.0764079988002777,0.0724190026521682,0.0724560022354126,503454120.0,0.0754266999661922,0.0721828497946261,0.0745122972982203,0.072271926871158,60.738689631032656,0.0029945254559741,0.0030173728440517,-2.2847388077569097e-05,0.0036891733098748,0.0793033437405239,0.0721828497946261,0.0650623558487283,234201399574.0,0,0,0,0,0,0
2023-11-16,0.0792770013213157,0.0828370004892349,0.0760470032691955,0.0763529986143112,1563730284.0,0.0757163003087043,0.0727526497095822,0.0753786071206013,0.072939076818792,64.7931984600977,0.0031872907220378,0.0030513564196489,0.0001359343023889,0.0039106607320294,0.0802203780326575,0.0727526497095822,0.0652849213865069,235765129858.0,0,0,0,0,0,0
2023-11-17,0.0863040015101432,0.0870610028505325,0.0793230012059211,0.0793259963393211,2031597493.0,0.0769949004054068,0.0736177999526261,0.0773650424641543,0.0742119267893969,72.22441272708856,0.0038625536581248,0.0032135958673441,0.0006489577907807,0.0041873279318285,0.0829283248316339,0.0736177999526261,0.0643072750736184,237796727351.0,0,0,0,0,0,0
2023-11-18,0.0803830027580261,0.0863939970731735,0.0798289999365806,0.0863270014524459,1340580447.0,0.0774851009249686,0.0741690002381801,0.0779137625175856,0.0747996483102187,60.61471378299708,0.0038752577257378,0.0033459282390228,0.0005293294867149,0.0043571614464545,0.0837082192767176,0.0741690002381801,0.0646297811996425,236456146904.0,0,0,0,0,0,0
2023-11-19,0.0805760025978088,0.0805979967117309,0.0779839977622032,0.0803949981927871,620299419.0,0.0781966008245944,0.0747153002768754,0.0783978061685352,0.0753497772899892,60.83570444377192,0.0038564445724743,0.0034480315057131,0.0004084130667611,0.0042326498395312,0.0844069766772559,0.0747153002768754,0.0650236238764949,237076446323.0,0,0,0,0,0,0
2023-11-20,0.0778789967298507,0.0820399969816207,0.0778160020709037,0.0805749967694282,668234221.0,0.078440100699663,0.0751954000443219,0.0783034771796835,0.0755906553318808,56.09871462457468,0.003582611068941,0.0034749474183587,0.0001076636505823,0.0042320316303301,0.0845076535211913,0.0751954000443219,0.0658831465674525,236408212102.0,0,0,0,0,0,0
2023-11-21,0.0721189975738525,0.0786980018019676,0.071492001414299,0.0778789967298507,860811107.0,0.077811400592327,0.0753592997789382,0.0771790263422597,0.0752600212596876,47.57801192016917,0.0028677545614898,0.0033535088469849,-0.000485754285495,0.00444445797014,0.0843274539980064,0.0753592997789382,0.06639114555987,235547400995.0,0,0,0,0,0,0
2023-11-22,0.0757839977741241,0.0765609964728355,0.0718839988112449,0.072113998234272,440962821.0,0.0775917001068591,0.0757517997175454,0.0769253847844168,0.075309923784872,52.51966798511664,0.0025673655239188,0.0031962801823717,-0.0006289146584528,0.0044610679481008,0.0840476191852971,0.0757517997175454,0.0674559802497937,235988363816.0,0,0,0,0,0,0
2023-11-23,0.0762000009417533,0.0763479992747306,0.0751620009541511,0.0757699981331825,279606815.0,0.0777335003018378,0.0761545997112988,0.0767934968130234,0.0753946930379083,53.0605522190299,0.0023359456984656,0.0030242132855905,-0.0006882675871249,0.0042271344032778,0.0836802947693467,0.0761545997112988,0.068628904653251,236267970631.0,0,0,0,0,0,0
2023-11-24,0.0782169997692108,0.0784289985895156,0.0761490017175674,0.0761990025639534,401116993.0,0.0783095002174376,0.0766114998608827,0.0770523155323302,0.0756634841551752,55.695844154383074,0.0022889135969707,0.0028771533478665,-0.0005882397508958,0.00408805315104,0.0834407694078022,0.0766114998608827,0.0697822303139631,236669087624.0,0,0,0,0,0,0
