Date,Close,High,Low,Open,Volume,SMA_10,SMA_20,EMA_10,EMA_20,RSI_14,MACD,MACD_signal,MACD_hist,ATR_14,BB_upper,BB_middle,BB_lower,OBV,news_avg_polarity,news_avg_subjectivity,news_avg_compound,news_avg_positive,news_avg_negative,news_news_count
2020-11-27,1.3020399808883667,1.302459955215454,1.2971500158309937,1.3022300004959106,0.0,1.306492018699646,1.3090139985084537,1.3053285146424882,1.308651437756605,40.45690498169753,-0.0041535653505406,-0.003629721367062,-0.0005238439834785,0.0084125403106489,1.3255748665864489,1.3090139985084537,1.292453130430458,0.0,0,0,0,0,0,0
2020-11-30,1.298259973526001,1.2994999885559082,1.2924200296401978,1.2982900142669678,0.0,1.3050820112228394,1.3070874989032746,1.3040433253485817,1.3076617744965475,37.26213384074964,-0.0044687989975094,-0.0037975368931515,-0.0006712621043578,0.0084987839490432,1.3184120602344536,1.3070874989032746,1.2957629375720956,0.0,0,0,0,0,0,0
2020-12-01,1.2992000579833984,1.2990800142288208,1.2942700386047363,1.2990800142288208,0.0,1.3042490124702453,1.3059450030326842,1.3031627312821843,1.3068558967333903,38.56154412425273,-0.0045898579494163,-0.0039560011044045,-0.0006338568450118,0.0082352976401176,1.315468222361513,1.3059450030326842,1.2964217837038554,0.0,0,0,0,0,0,0
2020-12-02,1.2933000326156616,1.295830011367798,1.2916899919509888,1.2934800386428833,0.0,1.302529013156891,1.305099505186081,1.3013695133428167,1.3055648620555116,33.82629647760622,-0.005103055927403,-0.0041854120690042,-0.0009176438583987,0.0081834953824241,1.3158778758108698,1.305099505186081,1.2943211345612922,0.0,0,0,0,0,0,0
2020-12-03,1.2917200326919556,1.294039964675903,1.2868000268936155,1.2917100191116333,0.0,1.300859022140503,1.304053509235382,1.2996150623153877,1.30424630687803,32.66934131206409,-0.0055730195117349,-0.0044629335575503,-0.0011100859541845,0.0081160984109858,1.3157251515067276,1.304053509235382,1.2923818669640363,0.0,0,0,0,0,0,0
2020-12-04,1.286460041999817,1.2872799634933472,1.2790000438690186,1.2866699695587158,0.0,1.2986480236053466,1.302966010570526,1.297223240439829,1.3025523768896288,29.100881457241385,-0.0062973148024021,-0.0048298098065207,-0.0014675049958814,0.0084449477261252,1.316748148622071,1.302966010570526,1.2891838725189813,0.0,0,0,0,0,0,0
2020-12-07,1.277959942817688,1.2832000255584717,1.2776000499725342,1.2781399488449097,0.0,1.2956220149993896,1.301752507686615,1.2937208226903487,1.300210240311349,24.452629096854054,-0.0074710889415003,-0.0053580656335166,-0.0021130233079837,0.0084745937476364,1.3193311684718034,1.301752507686615,1.2841738469014266,0.0,0,0,0,0,0,0
2020-12-08,1.2802000045776367,1.2815899848937988,1.276960015296936,1.280369997024536,0.0,1.2928980112075803,1.3007270097732544,1.291262492124401,1.2983045035748049,27.728821318056102,-0.008126877554627,-0.0059118280177387,-0.0022150495368883,0.0081999777368669,1.3206640965519836,1.3007270097732544,1.2807899229945252,0.0,0,0,0,0,0,0
2020-12-09,1.2816200256347656,1.2817399501800537,1.2771199941635132,1.281550049781799,0.0,1.2910960078239442,1.29965301156044,1.2895093163990126,1.2967155056757536,29.806908974042315,-0.0084347800298172,-0.0064164184201544,-0.0020183616096628,0.0079442618997007,1.3212113673007062,1.29965301156044,1.278094655820174,0.0,0,0,0,0,0,0
2020-12-10,1.282439947128296,1.2826000452041626,1.2708200216293335,1.2825000286102295,0.0,1.2893200039863586,1.2984840095043182,1.2882239765316097,1.2953559286712335,31.039896825560334,-0.0085144844706694,-0.0068360316302574,-0.001678452840412,0.0082182448764956,1.3210881692127503,1.2984840095043182,1.275879849795886,0.0,0,0,0,0,0,0
